Drive
"DC Bus Voltage";0;Volts;
"Line-Line Supply Voltage (rms)";0;Volts;
"Phase Supply Voltage (rms)";0;Volts;
"Back EMF Line-Line Voltage (peak)";12.56;Volts;
"Back EMF Line-Line Voltage (peak) (fundamental)";12.58;Volts;
"Back EMF Phase Voltage (peak)";7.295;Volts;
"Back EMF Line-Line Voltage (rms)";8.895;Volts;
"Back EMF Phase Voltage (rms)";5.135;Volts;
"Harmonic Distortion Back EMF Line-Line Voltage";0.144;%;
"Harmonic Distortion Back EMF Phase Voltage";0.5881;%;
"Max Line-Line / Phase Voltage Ratio";1.732;;
"Line Current (peak)";0;Amps;
"Line Current (rms)";0;Amps;
"Phase Current (peak)";0;Amps;
"Phase Current (rms)";0;Amps;
"Phase Advance";0;EDeg;
"Drive Offset Angle (Open Circuit)";75;EDeg;
"Drive Offset Angle (On load)";75;EDeg;
"Phase Advance to give maximum torque";0;EDeg;
"Phasor Offset Angle";0;EDeg;
"Phasor Angle (Ph1)";0;EDeg;
"Phasor Angle (Ph2)";120;EDeg;
"Phasor Angle (Ph3)";240;EDeg;
"Max Angle Between Phasors";120;EDeg;
"D Axis Inductance";0;mH;
"Q Axis Inductance";0;mH;
"Line-Line Inductance (DQ)";0;mH;
"Self Inductance";0.3053;mH;
"Mutual Inductance";-0.03077;mH;
"Line-Line Inductance";0.6721;mH;
"Armature End Winding Inductance_(Rosa and Grover)";0.0107;mH;
"D Axis Phase Current (single point rms)";0;Amps;
"Q Axis Phase Current (single point rms)";0;Amps;
"Back EMF Constant (Ke)";0.12;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.1201;Vs/Rad;
"Electrical Constant";0;msec;
"Electrical Loading";0;Amps/m;
"Stall Current";0;Amps;
"Stall Torque";0;Nm;
"Short Circuit Line Current (peak)";64.92;Amps;
"Short Circuit Current Density (peak)";68.31;Amps/mm©÷;
"Short Circuit Current Density (rms)";48.3;Amps/mm©÷;
"Short Circuit Braking Torque";-6.767;Nm;
"Short Circuit Max Braking Torque";0;Nm;
"Short Circuit Max Braking Torque Speed";0;rpm;
"Fundamental Frequency";83.33;Hz;
"Shaft Speed";1000;rpm;

E-Magnetics
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Single point torque (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Cogging Torque Ripple (Vw)";0.029929;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";0;rpm;
"No load speed";0;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";0;Watts;
"Power Factor [Waveform] (lagging)";0;;
"Power Factor Angle [Waveform]";0;EDeg;
"Power Factor [THD]";0;;
"Power Factor [Phasor] (lagging)";1;;
"Power Factor Angle [Phasor]";0;EDeg;
"Load Angle [Phasor]";0;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";5.1354;Volts;
"Rotor Inertia";0.00011889;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";0.00012489;kg.m©÷;
"Torque per rotor volume";0;kNm/m©ø;
"Rotor peripheral velocity (on load)";2.5133;m/s;
"Flux Linkage D (Q axis current)";13.8988;mVs;
"Flux Linkage Q (Q axis current)";0.00858664;mVs;
"Flux linkage D (On load)";13.8988;mVs;
"Flux linkage Q (On load)";0.00858664;mVs;
"Back EMF Constant (Ke)";0.119964;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.12012;Vs/Rad;
"Stall Current";0;Amps;
"Cogging Period";6;MDeg;
"Cogging Frequency";1000;Hz;
"Fundamental Frequency";83.3333;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
"Magnetic Axial Length (Slice3)";5.53;mm;
"Magnetic Axial Length (Slice4)";5.53;mm;
"Magnetic Axial Length (Slice5)";5.53;mm;

Phasor Diagram
"Maximum torque possible (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Single point torque (DQ)_(For Phase Advance of 0 EDeg)";0;Nm;
"Cogging Torque Ripple (Vw)";0.029929;Nm;
"Speed limit for constant torque_(For Phase Advance of 0 EDeg)";0;rpm;
"No load speed";0;rpm;
"Speed limit for zero q axis current";INF;rpm;
"Electromagnetic Power_Operating point outside voltage limit.";0;Watts;
"Power Factor [Waveform] (lagging)";0;;
"Power Factor Angle [Waveform]";0;EDeg;
"Power Factor [THD]";0;;
"Power Factor [Phasor] (lagging)";1;;
"Power Factor Angle [Phasor]";0;EDeg;
"Load Angle [Phasor]";0;EDeg;
"Phase Terminal Voltage (rms) [Phasor]";5.1354;Volts;
"Rotor Inertia";0.00011889;kg.m©÷;
"Shaft Inertia";6.0066E-006;kg.m©÷;
"Total Inertia";0.00012489;kg.m©÷;
"Torque per rotor volume";0;kNm/m©ø;
"Rotor peripheral velocity (on load)";2.5133;m/s;
"Flux Linkage D (Q axis current)";13.8988;mVs;
"Flux Linkage Q (Q axis current)";0.00858664;mVs;
"Flux linkage D (On load)";13.8988;mVs;
"Flux linkage Q (On load)";0.00858664;mVs;
"Back EMF Constant (Ke)";0.119964;Vs/Rad;
"Back EMF Constant (Ke) (fundamental)";0.12012;Vs/Rad;
"Stall Current";0;Amps;
"Cogging Period";6;MDeg;
"Cogging Frequency";1000;Hz;
"Fundamental Frequency";83.3333;Hz;
"Mechanical Frequency";16.6667;Hz;
"Optimum Skewing Angle";6;MDeg;
"Magnetic Symmetry Factor_(Automatic calculation)";2;;
"Magnetic Axial Length (Slice1)";5.53;mm;
"Magnetic Axial Length (Slice2)";5.53;mm;
